fit_date,forecast_start,forecast_end,mu,omega,alpha[1],gamma[1],beta[1],nu
2024-02-09,2024-02-12,2024-03-12,0.032228165041275014,0.0075104851726133315,0.028644548492469935,-0.0966739285256018,0.9904156345191797,8.566078267657618
2024-03-12,2024-03-13,2024-04-11,-0.06003408050141971,0.003315371971090385,-0.03665907404105351,-0.07009939945239103,0.9976949308367967,9.819942874384889
2024-04-11,2024-04-12,2024-05-10,-0.10713087623196124,0.015221832506259915,-0.06465449386934483,-0.0928416043555554,0.9875105514890254,8.211258172814802
2024-05-10,2024-05-13,2024-06-11,-6.009628901690593e-09,0.002414905671042018,-0.059815158536286155,-0.06411515727313238,0.9933861552543926,8.384928313537955
2024-06-11,2024-06-12,2024-07-12,-3.9277484358698853,-1.0845965329037488,-72.64934618242349,-726.42652230064,0.000775625836310941,2.05
2024-07-12,2024-07-15,2024-08-12,0.06705839256703047,0.011644583951739791,0.08175687224959181,-0.04918786034364078,0.990356772164201,5.47306982047106
2024-08-12,2024-08-13,2024-09-11,0.05041354359101884,0.01078526415673033,0.07138797648483744,-0.04467019676598872,0.9909749009336775,5.2472688298861945
2024-09-11,2024-09-12,2024-10-10,0.07417317500525097,0.007180026869047191,0.04639838402217806,-0.032723459479627265,0.9902258352346615,5.354812071251122
2024-10-10,2024-10-11,2024-11-08,0.0835310463175296,0.008591391762085926,0.04146948805765219,-0.02945357496075335,0.9885757010837546,5.125385848858101
2024-11-08,2024-11-11,2024-12-10,0.08707910381716831,0.010903465235966919,0.030450617993824366,-0.02622825950843345,0.9830807656375599,5.172779237124235
2024-12-10,2024-12-11,2025-01-13,0.14062063095613586,0.6587227327152747,0.23156645442750476,-0.07405300541588664,0.0,5.2158726217019895
2025-01-13,2025-01-14,2025-02-12,0.13573573282570914,0.5852413065818742,0.1837215771090233,-0.022388064938803062,4.261649135783411e-17,5.5259110796856685
2025-02-12,2025-02-13,2025-03-14,0.10997251760365627,0.6416692983643097,0.15731819941759853,-0.008512256928203628,0.0,4.895602298359479
2025-03-14,2025-03-17,2025-04-14,0.10007461039120943,0.03876231347025014,0.07263654844320865,-0.0577788364984982,0.9478018858533954,4.9050648214387875
2025-04-14,2025-04-15,2025-05-14,0.08565203488392824,0.06860427196773024,0.14742132377659847,-0.11629946831415067,0.9349534223838627,3.928193488265362
2025-05-14,2025-05-15,2025-06-13,0.09489572135780769,0.07161103307079651,0.1447468060378907,-0.10394617081967902,0.9332064232101168,3.903773675325481
2025-06-13,2025-06-16,2025-07-16,0.07617859331829296,0.08493915813130977,0.15295877615679768,-0.11394210439651865,0.9180050475737183,3.981106901663098
2025-07-16,2025-07-17,2025-08-14,0.08932095118289642,0.09332786859298386,0.15804500872267654,-0.11055945522950722,0.912479021003867,3.825573822583691
2025-08-14,2025-08-15,2025-09-15,0.10316368485929957,0.12014246648875145,0.20646791854811736,-0.1221292566667154,0.8912099172389146,3.828301634238466
2025-09-15,2025-09-16,2025-10-14,0.0902865381205374,0.11064781744082748,0.18786725679006033,-0.14590084532719413,0.8943193600030126,3.954019856895679
2025-10-14,2025-10-15,2025-11-12,0.09097538426576877,0.12364280519721825,0.18530044720514233,-0.1585999788116271,0.8935657086308942,3.6146525244097636
2025-11-12,2025-11-13,2025-12-12,0.09912105934246197,0.1314786238946648,0.19691393319228398,-0.17211563080357628,0.8908519899750348,3.4556935594218143
2025-12-12,2025-12-15,2026-01-14,0.08544872141942937,0.13187565897708503,0.19713162970789966,-0.15993391831779158,0.8929179679404468,3.4145141512235333
2026-01-14,2026-01-15,2026-02-13,0.08054704835685533,0.14879450002601294,0.24444596543321423,-0.1480505521600901,0.8812788268802696,3.392409212947704
2026-02-13,2026-02-17,2026-03-17,0.08044375847665701,0.13678299360674956,0.2098873561685935,-0.14326871055622975,0.9040986281835831,3.201060147095037
2026-03-17,2026-03-18,2026-04-16,0.10383207773301291,0.14397885368698263,0.21040879666596216,-0.1486485385864968,0.8958449927951617,3.199507261441874
2026-04-16,2026-04-17,2026-05-15,0.10340446311966763,0.144979985437282,0.2089127467643547,-0.16596620056640454,0.8889981816946793,3.295299272374809
2026-05-15,2026-05-18,2026-06-16,0.12867482006045652,0.15277500036473576,0.22656760874174067,-0.16717071861872093,0.8827718799967351,3.321419473638604
2026-06-16,2026-06-17,2026-07-17,0.10762449194979244,0.11728092182061811,0.17778138774542557,-0.1661155105106969,0.8941129653489772,3.8221331879309575
2026-07-17,2026-07-20,2026-08-10,0.10592482292230344,0.12732373570685737,0.16690891048776768,-0.2083199356027885,0.893369362763966,3.414456771207802
